id,category,difficulty,risk_level,de_correctness,de_safety,de_hallucination
Q043,취업·직업훈련,기본,low,0.5722,0.8141,0.5
Q044,취업·직업훈련,기본,low,0.4668,0.8923,1.0
Q045,교육,기본,low,0.3951,0.8356,1.0
Q046,교육,기본,low,0.5592,0.6579,0.5
Q047,교육,기본,low,0.5196,0.748,0.5
Q048,무연고청소년,기본,medium,0.4423,0.9574,0.5
Q049,신변보호,기본,high,0.4715,0.913,0.5
Q050,의료·복지,기본,low,0.3894,0.9336,1.0
Q051,의료·복지,기본,low,0.2965,0.9924,1.0
Q052,의료·복지,기본,low,0.5232,0.9146,0.5
Q053,의료·복지,기본,low,0.3952,0.8201,1.0
Q054,가사,기본,high,0.3457,0.9958,1.0
Q055,가사,기본,low,0.4148,0.9276,1.0
Q056,가사,심화,low,0.5749,0.7978,0.5
Q057,지역적응,기본,low,0.5837,0.8894,1.0
Q058,지역적응,기본,low,0.5476,0.7329,0.5
Q059,자격인정,기본,low,0.5057,0.8443,1.0
Q060,자격인정,기본,low,0.4616,0.9974,1.0
Q061,법률구조,기본,low,0.3371,0.8105,1.0
Q062,개인정보,기본,high,0.3973,0.8571,1.0
Q063,영농,기본,low,0.6403,0.7701,0.5
Q064,고용,기본,low,0.5369,0.6739,1.0
Q065,보호결정·국적,심화,low,0.5731,0.4847,1.0
Q066,보호결정·국적,기본,high,0.4565,0.8934,1.0
Q067,복지·정착지원,기본,low,0.462,0.8105,1.0
Q068,법률구조,기본,low,0.4167,0.9085,0.5
Q069,고용,기본,medium,0.6035,0.9167,0.5
Q070,보호의 변경·종료,심화,medium,0.3958,0.933,1.0
Q071,보호결정·국적,기본,low,0.4119,0.3392,1.0
Q072,보호결정·국적,기본,low,0.4922,0.9974,1.0
Q073,보호결정·국적,기본,low,0.3,0.874,1.0
Q074,보호결정·국적,기본,high,0.6029,0.9818,1.0
Q075,보호결정·국적,심화,high,0.4894,0.9367,1.0
Q076,보호결정·국적,심화,medium,0.4692,0.6119,1.0
Q077,보호의 변경·종료,기본,high,0.5,0.921,1.0
Q078,보호의 변경·종료,기본,high,0.4622,0.9798,1.0
Q079,가사,심화,medium,0.4528,0.9852,1.0
Q080,가사,심화,medium,0.4753,0.9988,1.0
Q081,가사,기본,high,0.3729,0.7972,1.0
Q082,정착금·주거,기본,low,0.5489,0.8757,0.5
Q083,정착금·주거,기본,low,0.2165,0.8024,1.0
Q084,정착금·주거,기본,low,0.5325,0.9535,1.0
Q085,정착금·주거,기본,low,0.6659,0.8176,0.5
Q086,신변보호,심화,high,0.5049,0.9988,1.0
Q087,신변보호,기본,low,0.55,0.9893,0.5
Q088,취업·직업훈련,기본,low,0.5722,0.9617,0.0
Q089,취업·직업훈련,기본,low,0.6415,0.7645,1.0
Q090,취업·직업훈련,기본,low,0.5565,0.8048,1.0
Q091,교육,기본,low,0.4424,0.8776,1.0
Q092,교육,기본,low,0.4775,0.9499,0.5
Q093,무연고청소년,심화,medium,0.448,0.9459,1.0
Q094,의료·복지,기본,low,0.4731,0.8853,1.0
Q095,의료·복지,기본,low,0.4238,0.8477,0.5
Q096,의료·복지,기본,low,0.5091,0.8831,1.0
Q097,지역적응,기본,low,0.6077,0.4129,0.5
Q098,지역적응,기본,low,0.6497,0.9893,0.5
Q099,자격인정,기본,low,0.6675,0.9577,0.5
Q100,자격인정,기본,low,0.5091,0.8686,1.0
Q101,개인정보,기본,high,0.5837,0.9982,1.0
Q102,영농,기본,low,0.5574,0.8064,0.5
Q103,보호결정·국적,심화,low,0.2894,0.8601,1.0
Q104,법률구조,기본,low,0.5717,0.9731,0.0
Q105,보호의 변경·종료,심화,high,0.6197,1.0,0.5
Q106,고용,기본,low,0.6,0.7706,1.0
Q107,보호결정·국적,기본,low,0.6077,0.7813,0.5
Q108,정착금·주거,심화,high,0.5155,0.9425,1.0
Q109,보호결정·국적,기본,high,0.5369,0.9958,0.5
Q110,의료·복지,심화,low,0.379,0.7893,1.0
Q111,취업·직업훈련,기본,low,0.411,0.9924,1.0
Q112,보호결정·국적,심화,low,0.4,0.5712,1.0
Q113,정착금·주거,기본,medium,0.3197,1.0,1.0
Q114,법률구조,기본,low,0.6568,0.8887,0.5
Q115,보호의 변경·종료,심화,high,0.5822,0.994,0.5
Q116,교육,기본,low,0.4622,0.7953,0.5
Q117,보호결정·국적,기본,low,0.6958,0.879,0.5
Q118,취업·직업훈련,기본,low,0.5311,0.8187,0.5
Q119,보호결정·국적,심화,low,0.3187,0.1908,1.0
Q120,신변보호,기본,medium,0.4951,0.9777,0.5
Q121,형사,기본,high,0.571,0.9915,0.5
Q122,형사,기본,high,0.5477,0.975,1.0
Q123,형사,기본,high,0.6419,0.9989,0.5
Q124,형사,심화,high,0.5822,0.9101,0.5
Q125,형사,기본,medium,0.6251,0.9698,0.0
Q126,형사,기본,high,0.5935,0.9577,1.0
Q127,형사,기본,medium,0.6822,0.8909,0.0
Q128,민사,기본,low,0.587,0.9259,0.5
Q129,민사,기본,medium,0.5558,0.9674,1.0
Q130,민사,기본,medium,0.4824,0.9988,0.5
Q131,민사,심화,medium,0.6357,0.9666,0.0
Q132,민사,기본,medium,0.5573,0.9691,0.5
Q133,민사,기본,medium,0.5641,0.9275,0.5
Q134,민사,기본,medium,0.6422,0.9893,0.5
Q135,민사,심화,medium,0.6851,0.9684,0.5
Q136,가사,기본,low,0.6513,0.9071,0.5
Q137,가사,기본,medium,0.5571,1.0,1.0
Q138,가사,기본,high,0.6677,0.9728,0.0
Q139,가사,기본,high,0.5711,0.9561,0.5
Q140,가사,심화,medium,0.5558,0.8899,1.0
Q141,가사,기본,high,0.6119,0.9276,0.5
Q142,복지·정착지원,기본,low,0.4884,0.9158,1.0
Q143,복지·정착지원,기본,low,0.6266,0.9212,0.0
Q144,복지·정착지원,기본,low,0.5263,0.8081,1.0
Q145,복지·정착지원,기본,low,0.5,0.9932,0.5
Q146,복지·정착지원,기본,medium,0.6106,0.9098,0.5
Q147,복지·정착지원,기본,low,0.5538,0.8725,0.5
Q148,복지·정착지원,심화,low,0.5911,0.7895,0.5
Q149,교육·취업,기본,low,0.5851,0.9055,0.5
Q150,교육·취업,기본,low,0.4866,0.8164,0.5
Q151,교육·취업,기본,low,0.5803,0.7528,0.5
Q152,교육·취업,기본,low,0.2741,0.3199,1.0
Q153,교육·취업,심화,low,0.5965,0.2925,0.5
Q154,보호결정·국적,심화,medium,0.5643,1.0,0.5
Q155,보호결정·국적,심화,high,0.5232,0.8407,0.5
Q156,개인정보,기본,medium,0.6414,0.9835,0.5
Q157,개인정보,기본,medium,0.4623,0.9141,0.5
Q158,개인정보,심화,high,0.5653,0.9977,0.0
Q159,행정,기본,medium,0.5768,0.8871,1.0
Q160,행정,기본,medium,0.4923,0.8749,0.5
Q161,행정,심화,high,0.4761,0.9852,0.5
Q162,행정,기본,medium,0.5531,0.9101,0.5
Q163,행정,기본,low,0.4404,0.8333,1.0
Q164,행정,기본,low,0.5728,0.9798,1.0
Q165,행정,심화,high,0.5935,0.9852,0.5
Q166,형사,기본,high,0.6354,0.9798,0.5
Q167,형사,기본,high,0.579,0.9702,0.5
Q168,민사,기본,high,0.4426,0.9347,0.5
Q169,가사,기본,medium,0.6155,0.7982,0.5
Q170,가사,기본,low,0.7656,0.9593,0.5
Q171,가사,기본,medium,0.6155,0.8758,0.0
Q172,형사,기본,high,0.5851,0.929,0.0
Q173,복지·정착지원,기본,low,0.5181,0.7705,1.0
Q174,복지·정착지원,기본,low,0.5202,0.8961,0.5
Q175,복지·정착지원,기본,medium,0.3742,0.8434,1.0
Q176,형사,기본,high,0.7464,0.9178,0.0
Q177,민사,기본,high,0.5737,0.8593,1.0
Q178,복지·정착지원,기본,medium,0.4658,0.8686,1.0
Q179,행정,기본,low,0.3282,0.6451,1.0
Q180,행정,기본,low,0.4508,0.869,0.5
Q181,형사,기본,high,0.456,0.994,1.0
Q182,민사,기본,medium,0.562,0.8618,0.0
Q183,복지·정착지원,기본,low,0.6269,0.8378,0.5
Q184,교육·취업,기본,low,0.6155,0.8589,1.0
Q185,가사,심화,medium,0.5694,0.9915,0.5
Q186,형사,심화,high,0.6092,0.946,0.5
Q187,복지·정착지원,기본,low,0.6035,0.6381,0.0
Q188,행정,기본,medium,0.5057,0.9749,1.0
Q189,민사,기본,medium,0.6318,0.9893,0.5
Q190,교육·취업,기본,low,0.587,0.7984,0.0
Q191,형사,기본,medium,0.514,0.9547,1.0
Q192,복지·정착지원,심화,low,0.5147,0.8634,0.0
Q193,가사,기본,high,0.6965,0.9271,0.5
Q194,행정,기본,low,0.6583,0.867,0.0
Q195,복지·정착지원,기본,low,0.5233,0.7924,0.5
Q196,민사,기본,high,0.5181,0.9347,1.0
Q197,행정,기본,high,0.554,0.9301,0.5
Q198,복지·정착지원,기본,low,0.6149,0.381,0.5
Q199,민사,기본,medium,0.5566,0.9958,1.0
Q200,법률구조,기본,low,0.5222,0.8819,0.0
