id,category,difficulty,risk_level,g1_score,g1_reason,g1_error
Q019,복지·정착지원,기본,low,3,"AI 응답은 기초생활수급에 대한 일부 조건을 언급하고 있으나, 거주지 보호기간과 부양의무자 기준에 대한 중요한 내용이 누락되어 있습니다. 또한, 북한이탈주민에 대한 특별한 지원을 강조하는 부분은 질문의 맥락과는 다소 차이가 있습니다.",
Q020,복지·정착지원,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 압류 해제 신청과 생계비 지원에 대한 정보를 제공하고 있습니다. 그러나 민사집행법에 따른 구체적인 금액과 압류방지통장에 대한 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q021,법률구조,기본,low,3,"AI 응답은 일부 기관에 대한 언급이 있지만, 북한이탈주민 보호대상자에 대한 구체적인 법률 지원 내용이 누락되어 있습니다. 또한, 법원 소송구조신청에 대한 정보도 포함되지 않아 중요 내용이 일부 부정확합니다.",
Q022,법률구조,기본,high,3,"AI 응답은 변호사 없이 재판을 받는 상황에 대한 일반적인 권리와 조언을 제공하지만, 국선변호인 선정에 대한 구체적인 법적 근거와 조건을 명시하지 않아 중요한 내용이 일부 누락되었습니다.",
Q023,교육·취업,기본,low,3,"AI 응답은 북한 학위 인정 절차에 대한 일부 정보를 제공하지만, 핵심 내용인 통일부장관에게 학력인정신청서를 제출해야 한다는 점이 누락되었습니다. 또한, 법적 근거에 대한 설명이 다소 복잡하게 제시되어 있어 명확성이 떨어집니다.",
Q024,교육·취업,기본,low,2,"AI 응답은 북한이탈주민에 대한 등록금 지원에 초점을 맞추고 있으나, 만 35세 미만의 국·공립대 등록금 면제 및 사립대 지원에 대한 구체적인 내용이 누락되어 있습니다. 또한, 법적 근거의 정확성도 부족하여 주요 내용이 불일치합니다.",
Q025,가사,심화,medium,3,"AI 응답은 비자 신청 절차와 필요한 서류를 언급했지만, 아이의 국적 문제와 한국 국민인 어머니의 역할에 대한 중요한 내용을 누락했습니다. 또한, 법적 근거가 명확하지 않아 일부 정보가 부정확할 수 있습니다.",
Q026,보호결정·국적,기본,high,2,"AI 응답은 북한이탈주민 보호법에 대한 언급이 있지만, 마약 거래가 보호대상에서 제외될 수 있다는 핵심 내용을 명확히 전달하지 못하고 있습니다. 또한, 법적 근거와 구체적인 상황에 대한 판단 기준이 누락되어 있어 주요 내용이 불일치합니다.",
Q027,보호결정·국적,기본,high,2,"AI 응답은 위장탈출에 대한 일반적인 법적 조언을 제공하지만, 구체적인 법적 근거와 절차에 대한 정보가 부족합니다. 주요 내용인 보호대상자 결정 및 이의신청 절차가 누락되어 있어 중요한 정보가 불일치합니다.",
Q028,보호결정·국적,심화,medium,3,"AI 응답은 비보호 결정자에게 제공될 수 있는 지원의 종류를 언급하고 있으나, 핵심 내용인 법 제9조 제4항에 따른 구체적인 지원 항목이 누락되어 있으며, 정착금 등 핵심 정착지원에 대한 언급이 없습니다.",
Q029,보호결정·국적,기본,low,2,"하나원에서의 보호기간에 대한 정보가 부정확하며, 거주지 보호 기간에 대한 구체적인 내용이 누락되었습니다. 법적 근거는 언급되었으나, 핵심 내용이 일치하지 않아 주요 내용 불일치로 평가됩니다.",
Q030,보호결정·국적,기본,low,4,"AI 응답은 이의신청 및 행정소송 절차를 잘 설명하고 있으나, 이의신청의 구체적인 기한(90일)과 통일부장관의 역할에 대한 언급이 누락되어 있어 사소한 정보가 부족하다.",
Q031,보호결정·국적,기본,low,1,"AI 응답은 북한이탈주민의 날의 날짜를 잘못 기재하였고, 법적 근거도 부정확합니다. 전반적으로 정보가 완전히 틀리며, 유해한 정보로 간주될 수 있습니다.",
Q032,보호의 변경·종료,기본,high,4,"핵심 내용은 대부분 일치하지만, 정답에서 언급된 특정 조건들(예: 고의로 국가이익에 반하는 거짓 정보 제공 등)이 누락되어 있습니다. 법적 근거는 정확하게 언급되었으나, 세부 사항에서 차이가 있습니다.",
Q033,보호의 변경·종료,기본,low,4,"AI 응답은 정착지원의 조정 기준에 대한 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 언급하고 있습니다. 그러나 특정 소득 기준이나 자산 기준에 대한 구체적인 내용이 누락되어 있어 사소한 차이가 있습니다.",
Q034,보호의 변경·종료,기본,high,3,"AI 응답은 부정수급에 대한 형사처벌과 행정적 제재를 언급하였으나, 구체적인 처벌 내용과 법적 근거가 정답과 다르며 일부 중요한 내용이 누락되었습니다.",
Q035,보호의 변경·종료,심화,high,2,"AI 응답은 법무부와 통일부 간의 정보 공유에 대한 주요 내용을 언급하였으나, 법적 근거와 구체적인 절차에 대한 정보가 부정확하거나 누락되었습니다. 또한, 형사처벌에 대한 조건이 명확히 설명되지 않아 주요 내용이 불일치합니다.",
Q036,정착금·주거,기본,high,3,"AI 응답은 정착지원금이 담보로 사용될 수 없다는 점을 언급했으나, 법적 근거인 제21조 제4항에 대한 언급이 없고, 불법성에 대한 경고도 누락되어 있어 중요 내용이 일부 부정확하다.",
Q037,정착금·주거,기본,low,3,"AI 응답은 여러 제도를 언급하였으나, 핵심 제도인 '미래행복통장'에 대한 구체적인 설명이 누락되어 있어 중요 내용이 일부 부정확합니다. 또한, 자산 형성 지원의 구체적인 조건이나 지원 내용이 부족합니다.",
Q038,정착금·주거,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 임대주택의 처분에 대한 법적 제한을 언급하고 있습니다. 그러나 법적 근거와 구체적인 조항에 대한 언급이 부족하여 사소한 누락이 있습니다.",
Q039,정착금·주거,심화,high,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 남북하나재단의 연락처도 제공하고 있습니다. 그러나 법적 근거와 구체적인 지원 조건에 대한 언급이 부족하여 사소한 누락이 있습니다.",
Q040,취업·직업훈련,기본,low,2,"AI 응답은 북한이탈주민에 대한 취업보호를 언급하고 있으나, 정답에서 제시된 구체적인 취업보호 기간과 지원 내용이 누락되어 있어 주요 내용이 불일치합니다.",
Q041,취업·직업훈련,기본,medium,3,"AI 응답은 해고가 취업장려금에 미치는 영향을 언급하고 있으나, 법적 근거와 구체적인 조건에 대한 설명이 부족하여 일부 중요한 내용이 누락되었습니다.",
Q042,취업·직업훈련,기본,low,4,"AI 응답은 직업훈련 신청 절차에 대한 정보를 제공하며, 남북하나재단의 연락처도 포함되어 있어 대부분의 핵심 내용이 일치합니다. 그러나 직업훈련신청서를 통일부장관에게 제출해야 한다는 중요한 법적 근거가 누락되었습니다.",
Q043,취업·직업훈련,기본,low,3,"AI 응답은 북한이탈주민을 위한 창업 지원 프로그램에 대한 정보를 제공하지만, 법적 근거와 구체적인 지원 내용이 일부 누락되어 있습니다. 또한, 중소기업청과 한국여성경제인협회에 대한 언급은 질문의 핵심 내용과 직접적인 관련이 없습니다.",
Q044,취업·직업훈련,기본,low,4,"AI 응답은 북한 군인의 한국 군대 입대 가능성을 언급하며 관련 법률을 인용했으나, 특별임용에 대한 구체적인 내용이 누락되어 있다. 전반적으로 핵심 내용은 일치하지만, 일부 세부사항이 부족하다.",
Q045,교육,기본,low,3,"AI 응답은 하나원에서 제공하는 교육의 일부 내용을 포함하고 있으나, 핵심 내용인 사회적응을 위한 기본교육의 구체적인 항목들이 누락되어 있으며, 일부 정보가 부정확하거나 다르게 표현되었습니다.",
Q046,교육,기본,low,3,"AI 응답은 자녀 교육 지원에 대한 일부 내용을 포함하고 있으나, 중요한 세부사항인 수업료 및 입학금 면제, 대학 지원 내용이 누락되어 있습니다. 또한, 법적 근거에 대한 언급이 있지만, 정확한 조항 번호가 다르며, 전반적으로 정보의 정확성이 떨어집니다.",
Q047,교육,기본,low,3,"AI 응답은 북한이탈주민 보호 및 지원에 대한 법적 근거를 언급하였으나, 구체적인 시설이나 프로그램에 대한 정보가 부족하고 핵심 내용이 일부 누락되었습니다.",
Q048,무연고청소년,기본,medium,4,"AI 응답은 탈북 청소년이 받을 수 있는 다양한 지원을 잘 설명하고 있으나, 법적 근거와 특정 조항에 대한 언급이 부족하여 일부 내용이 누락되었습니다.",
Q049,신변보호,기본,high,4,"AI 응답은 신변 보호 요청에 대한 기본적인 내용을 잘 설명하고 있으며, 경찰의 의무와 관련된 법적 근거를 제시하고 있습니다. 그러나 통일부와 관련된 구체적인 내용과 신변 보호 기간에 대한 정보가 누락되어 있어 사소한 차이가 있습니다.",
Q050,의료·복지,기본,low,2,"AI 응답은 북한이탈주민에 대한 의료비 지원에 초점을 맞추고 있으며, 의료급여법에 따른 내용이 누락되어 있습니다. 주요 법적 근거와 지원 절차에 대한 정보는 포함되어 있으나, 핵심 내용이 불일치합니다.",
Q051,의료·복지,기본,low,1,"AI 응답은 탈북민에 대한 국민연금 특례가 존재하지 않다고 잘못된 정보를 제공하고 있으며, 핵심 내용이 완전히 틀립니다. 법적 근거와 관련된 정보도 부정확하여 유해한 정보로 평가됩니다.",
Q052,의료·복지,기본,low,3,"AI 응답은 기초생활수급 신청 절차에 대한 상세한 정보를 제공하지만, 거주지 보호기간 종료 후의 신청 방법에 대한 핵심 내용이 일부 누락되었고, 법적 근거도 정확하지 않습니다.",
Q053,의료·복지,기본,low,3,"AI 응답은 공공시설에서 장사를 위한 법적 절차와 기준을 상세히 설명하고 있으나, 핵심 내용인 보호대상자의 우선 고려에 대한 언급이 누락되어 있어 일부 중요 내용이 부정확합니다.",
Q054,가사,기본,high,2,"AI 응답은 가족관계등록부 작성 절차에 대한 주요 내용을 포함하고 있으나, 하나원에서의 진술 및 통일부장관의 역할과 같은 중요한 법적 절차를 누락하고 있습니다. 또한, 법적 근거로 제시된 조항이 다르며, 전반적으로 정보의 정확성이 떨어집니다.",
Q055,가사,기본,low,4,"AI 응답은 주민등록번호 변경의 사유와 법적 근거를 잘 설명하고 있으나, 특정한 경우에 대한 세부사항이 일부 누락되어 있습니다. 특히, 하나원 소재지 기준 및 출생일자 정정에 대한 언급이 부족합니다.",
Q056,가사,심화,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 가족관계 확인서 발급 절차에 대한 추가 정보를 제공하고 있습니다. 그러나 법적 근거와 전자적 발급 가능성에 대한 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q057,지역적응,기본,low,3,"AI 응답은 여러 지원 기관을 언급하고 있지만, 핵심 내용인 '하나센터'와 그 제공 서비스에 대한 정보가 누락되어 있습니다. 또한, 법적 근거와 관련된 정보가 부족하여 중요 내용이 일부 부정확합니다.",
Q058,지역적응,기본,low,4,"AI 응답은 상담 가능성을 잘 설명하고 있으며, 남북하나재단의 연락처도 포함되어 있습니다. 그러나 법적 근거로 언급된 조항이 정확하지 않으며, 전문상담사제도에 대한 구체적인 언급이 누락되었습니다.",
Q059,자격인정,기본,low,3,"AI 응답은 북한에서의 의사 자격증 인정에 대한 일부 내용을 포함하고 있으나, 법적 근거와 절차에 대한 구체적인 설명이 부족하며, 중요한 내용이 일부 누락되어 있습니다.",
Q060,자격인정,기본,low,3,"AI 응답은 학력 인정 절차에 대한 일부 정보를 제공하지만, 핵심 내용인 서류 없이도 학력 인정이 가능하다는 점을 명확히 하지 않았고, 중요한 세부사항이 누락되었습니다.",
Q061,법률구조,기본,low,3,"AI 응답은 법적 근거와 구체적인 교육 프로그램에 대한 정보가 부족하며, 하나원 교육과정에 대한 언급이 없습니다. 그러나 법률 상담 기관에 대한 정보는 포함되어 있어 부분적으로 일치합니다.",
Q062,개인정보,기본,high,3,"AI 응답은 개인정보 보호법을 언급하며 관련 법적 조치를 설명하지만, 탈북민 보호와 관련된 구체적인 법적 근거와 처벌 조항이 누락되어 있어 중요 내용이 일부 부정확하게 전달되었다.",
Q063,영농,기본,low,4,"핵심 내용은 대부분 일치하지만, 법적 근거와 구체적인 지원 내용이 일부 누락되었습니다. 또한, 영농 교육 훈련과 현장 실습에 대한 언급이 부족하여 사소한 표현 차이가 있습니다.",
Q064,고용,기본,low,4,"AI 응답은 탈북민 고용에 대한 혜택을 잘 설명하고 있으며, 주요 내용이 대부분 일치합니다. 그러나 법적 근거와 구체적인 지원 내용에서 일부 차이가 있어 사소한 누락이 있습니다.",
Q065,보호결정·국적,심화,low,4,"AI 응답은 탈북민 지원 정책의 주요 내용을 잘 설명하고 있으며, 관련 법률을 언급하고 있습니다. 그러나 기본계획의 구체적인 수립 주기와 포함 사항에 대한 정보가 누락되어 있어 사소한 차이가 있습니다.",
Q066,보호결정·국적,기본,high,3,"AI 응답은 탈북 절차에 대한 정보를 제공하지만, 한국 정부의 지원 가능성에 대한 핵심 내용을 일부 누락하고 있습니다. 법적 근거와 구체적인 지원 방법에 대한 언급이 부족하여 중요 내용이 부정확하게 전달되었습니다.",
Q067,복지·정착지원,기본,low,3,"AI 응답은 대출 방법에 대한 정보를 제공하지만, 법적 근거와 특정 지원 프로그램에 대한 언급이 부족하여 일부 중요한 내용이 누락되었습니다. 또한, 질문의 맥락에 맞는 긴급 지원에 대한 정보가 포함되지 않아 부분적으로 일치합니다.",
Q068,법률구조,기본,low,2,"AI 응답은 주요 기관과 지원 내용을 언급하였으나, 거주지 보호 기간 및 관련 담당관에 대한 구체적인 정보가 누락되어 있습니다. 또한, 북한이탈주민 전문상담사와 정착도우미 제도에 대한 언급이 없어 주요 내용이 불일치합니다.",
Q069,고용,기본,medium,4,"AI 응답은 차별에 대한 법적 근거와 대응 방법을 잘 설명하고 있으나, 탈북민 고용률 평가와 관련된 법적 근거가 누락되어 있어 일부 내용이 다소 부족하다.",
Q070,보호의 변경·종료,심화,medium,4,"AI 응답은 통일부의 정보 수집 및 제공에 대한 법적 근거를 언급하고 있으며, 관련 법률을 인용하여 설명하고 있습니다. 그러나 통일부장관의 자료 요청 권한과 형사처벌 정보의 자동 공유에 대한 구체적인 내용이 누락되어 있어 사소한 차이가 있습니다.",
Q071,보호결정·국적,기본,low,3,"AI 응답은 북한이탈주민의 정의를 일부 포함하고 있으나, 법적 정의와 조건에 대한 중요한 내용이 누락되어 있습니다. 또한, 외국 국적 취득 여부에 대한 설명이 없어서 법적 근거가 부정확합니다.",
Q072,보호결정·국적,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 북한이탈주민 지원법의 적용 범위에 대한 설명이 적절합니다. 그러나 법 제3조에 따른 보호 신청 절차에 대한 구체적인 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q073,보호결정·국적,기본,low,2,"AI 응답은 보호 신청 기관으로 남북하나재단을 언급하고 있으나, 법적 근거와 절차에 대한 정보가 부정확합니다. 주요 내용인 재외공관이나 행정기관에 직접 신청해야 한다는 점이 누락되어 있습니다.",
Q074,보호결정·국적,기본,high,3,"AI 응답은 보호 신청의 법적 요건을 언급하였으나, 3년 경과 시 보호대상자로 결정되지 않을 수 있다는 핵심 내용을 누락하였고, 법적 근거도 일부 부정확하게 설명하였습니다.",
Q075,보호결정·국적,심화,high,2,"AI 응답은 보호 신청 가능성에 대한 주요 내용을 다루지 않고 있으며, 법적 근거도 부정확하게 제시하고 있습니다. 살인죄와 같은 중대한 비정치적 범죄에 대한 언급이 부족하여 핵심 내용이 불일치합니다.",
Q076,보호결정·국적,심화,medium,2,"AI 응답은 보호 결정의 주체인 통일부를 언급했으나, 국가정보원장이 결정하는 경우에 대한 중요한 내용을 누락했습니다. 법적 근거도 잘못된 법률을 인용하여 주요 내용이 불일치합니다.",
Q077,보호의 변경·종료,기본,high,3,"AI 응답은 집행유예와 정착지원의 관계에 대한 일부 정보를 제공하지만, 법적 근거와 구체적인 조항에 대한 언급이 부족하여 중요 내용이 일부 누락되었습니다.",
Q078,보호의 변경·종료,기본,high,3,"AI 응답은 일부 핵심 내용을 포함하고 있으나, 법적 근거와 구체적인 결과에 대한 설명이 부족하며, 정착지원 중지 및 반환 요구에 대한 언급이 누락되어 있습니다.",
Q079,가사,심화,medium,3,"AI 응답은 혼인 적합성 조사와 혼인신고 필요성을 언급했지만, 이혼 청구 절차와 통일부장관의 서면 첨부에 대한 구체적인 법적 근거가 누락되어 있어 중요 내용이 일부 부정확하게 전달되었습니다.",
Q080,가사,심화,medium,3,"AI 응답은 이혼 소송 절차에 대한 일부 정보를 제공하지만, 공시송달 방법과 통일부장관의 확인서 발급에 대한 중요한 내용을 누락하고 있습니다. 또한, 법적 근거가 명확하지 않아 일부 내용이 부정확하게 전달되었습니다.",
Q081,가사,기본,high,3,"AI 응답은 정정 가능성을 언급했으나, 정정 절차의 어려움과 법원의 허가 필요성 등 중요한 내용을 누락했습니다. 또한, 법적 근거가 불명확하여 일부 부정확한 정보가 포함되어 있습니다.",
Q082,정착금·주거,기본,low,4,"핵심 내용은 대부분 일치하지만, 정착금의 구체적인 금액과 법적 근거에 대한 설명이 다소 차이가 있습니다. 또한, 정착금 감액 가능성에 대한 언급이 누락되었습니다.",
Q083,정착금·주거,기본,low,2,"AI 응답은 보로금의 정의와 법적 근거를 잘못 설명하고 있으며, 주요 내용이 불일치합니다. 보로금의 지급 기준과 관련 기관에 대한 정보가 누락되어 있습니다.",
Q084,정착금·주거,기본,low,3,"AI 응답은 주거 지원의 개요를 잘 설명하고 있으나, 법적 근거와 통일부장관의 역할에 대한 중요한 내용이 누락되어 있습니다. 또한, 아파트 배정에 대한 구체적인 절차와 제한 사항이 언급되지 않아 일부 정보가 부정확합니다.",
Q085,정착금·주거,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 정확하게 언급하고 있습니다. 그러나 '법 제20조 제4항'에 대한 구체적인 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q086,신변보호,심화,high,3,"AI 응답은 신변보호 재신청 가능성을 언급하였으나, 법적 근거와 구체적인 절차에 대한 정보가 부족하고 일부 내용이 부정확합니다. 특히, 통일부장관의 역할과 협의회 심의 과정이 누락되어 있습니다.",
Q087,신변보호,기본,low,3,"AI 응답은 신변보호 종료 요청이 가능하다는 점을 언급했으나, 법 개정에 따른 구체적인 법적 근거와 절차를 명확히 설명하지 않아 중요한 내용이 일부 누락되었습니다.",
Q088,취업·직업훈련,기본,low,4,"AI 응답은 북한에서의 경력이 한국에서 교사로 일하는 데 영향을 미칠 수 있다는 점을 언급하며, 교원 자격증 취득 요건을 설명하고 있습니다. 그러나 법적 근거와 구체적인 절차에 대한 언급이 부족하여 일부 내용이 누락되었습니다.",
Q089,취업·직업훈련,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 적절하게 언급하고 있습니다. 그러나 세액 공제에 대한 구체적인 언급이 부족하고, 법 제17조의4에 대한 언급이 없다는 점에서 사소한 누락이 있습니다.",
Q090,취업·직업훈련,기본,low,3,"AI 응답은 고용지원금에 대한 언급이 있지만, 법적 근거가 부정확하고 주요 내용인 고용지원금의 구체적인 지급 비율 및 신청 방법이 누락되었습니다. 또한, 세제 혜택과 직업훈련 지원 등 추가적인 정보는 있으나, 질문의 핵심인 탈북민 고용의 직접적인 혜택에 대한 명확한 설명이 부족합니다.",
Q091,교육,기본,low,3,"AI 응답은 등록금 지원에 대한 일반적인 정보는 제공하지만, 법적 근거와 구체적인 지원 내용이 누락되어 있어 중요 내용이 일부 부정확합니다.",
Q092,교육,기본,low,2,"AI 응답은 북한이탈주민의 자녀 교육 지원에 대한 내용을 다루고 있으나, 질문의 핵심인 초등학생 자녀의 수업료 지원에 대한 직접적인 답변이 부족하고 관련 법적 근거도 부정확하게 제시되었습니다.",
Q093,무연고청소년,심화,medium,4,"AI 응답은 후견인 선임 가능성을 잘 설명하고 있으며, 법적 근거도 제시하고 있습니다. 그러나 통일부장관의 역할과 긴급 지원에 대한 내용이 누락되어 있어 사소한 정보 차이가 있습니다.",
Q094,의료·복지,기본,low,3,"AI 응답은 건강보험료 지원에 대한 일부 정보를 제공하지만, 법적 근거와 지원 신청 방법에서 정확한 내용을 누락하고 있습니다. 특히, 통일부장관의 역할과 남북하나재단에 대한 언급이 없으며, 법 조항도 잘못 인용되었습니다.",
Q095,의료·복지,기본,low,3,"AI 응답은 생계급여 수급 가능성을 언급하였으나, 보호기간 중 의료급여와 기초생계급여 지원에 대한 구체적인 내용이 누락되었고, 법적 근거도 일부 부정확하게 설명되었습니다.",
Q096,의료·복지,기본,low,2,"AI 응답은 긴급복지지원법에 따른 지원 내용이 누락되어 있으며, 법적 근거가 부족합니다. 또한, 주요 내용이 불일치하여 정확한 정보를 제공하지 못하고 있습니다.",
Q097,지역적응,기본,low,4,"하나센터의 주요 기능과 서비스에 대한 설명이 대부분 일치하지만, 법적 근거와 초기적응교육에 대한 구체적인 내용이 누락되어 있습니다.",
Q098,지역적응,기본,low,4,"AI 응답은 핵심 내용이 대부분 일치하며, 북한이탈주민이 받을 수 있는 치료와 지원에 대한 정보를 잘 전달하고 있습니다. 그러나 법적 근거와 구체적인 상담 서비스 제공 기관에 대한 언급이 부족하여 사소한 누락이 있습니다.",
Q099,자격인정,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 언급하고 있습니다. 그러나 북한 운전면허의 인정 절차에 대한 구체적인 정보가 다소 부족하고, 일부 표현 차이가 있습니다.",
Q100,자격인정,기본,low,3,"AI 응답은 검정고시를 통한 학력 인정 방법을 제시하였으나, 핵심 내용인 시·도 교육청 학력심의위원회에 대한 언급이 누락되었고, 법적 근거도 일부 부정확합니다.",
Q101,개인정보,기본,high,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 적절하게 제시하고 있습니다. 그러나 특정 법 조항에 대한 언급이 부족하고, 유출 피해 발생 시 신고 방법에 대한 정보가 누락되었습니다.",
Q102,영농,기본,low,3,"AI 응답은 지원 프로그램에 대한 일반적인 정보를 제공하지만, 법 개정에 따른 구체적인 지원 내용과 법적 근거가 누락되어 있습니다. 어업과 임업이 포함된 점은 언급되었으나, 핵심 내용이 일부 부정확하거나 불완전합니다.",
Q103,보호결정·국적,심화,low,3,"AI 응답은 보호기간 조정에 대한 법적 근거를 언급하였으나, 보호기간 단축 요청이 가능하다는 중요한 내용을 누락하였습니다. 또한, 법 개정 사항에 대한 언급이 없어 정보의 정확성이 떨어집니다.",
Q104,법률구조,기본,low,4,"AI 응답은 주요 기관을 언급하고 있으며, 탈북민을 위한 무료 법률 상담에 대한 정보를 제공하고 있습니다. 그러나 법무부 통일법무과와 재단법인 동천, 서울지방변호사회 프로보노센터에 대한 언급이 누락되어 있어 일부 정보가 부족합니다.",
Q105,보호의 변경·종료,심화,high,4,"AI 응답은 보호 종료 사유를 잘 설명하고 있으나, '고의로 국가이익에 반하는 거짓 정보 제공'이라는 구체적인 법적 요건을 명시하지 않아 일부 중요한 내용이 누락되었습니다.",
Q106,고용,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 의무에 대한 설명이 다소 다르지만 전반적으로 정확한 정보를 제공합니다. 그러나 '적극적으로 지원해야 할 의무'라는 표현이 법적 의무와는 차이가 있어 사소한 표현 차이가 있습니다.",
