id,category,difficulty,risk_level,g1_score,g1_reason,g1_error
Q022,법률구조,기본,high,3,"AI 응답은 변호사 없이 재판을 받고 있는 상황의 심각성을 강조하고 있지만, 국선변호인 선정 요건에 대한 구체적인 법적 근거와 절차가 누락되어 있습니다. 중요한 내용이 일부 부정확하거나 누락되어 있어 부분적으로만 일치합니다.",
Q023,교육·취업,기본,low,5,"AI 응답은 핵심 내용이 완전 일치하며, 법적 근거도 정확하게 제시하고 있습니다. 학력 인정 절차에 대한 설명도 누락 없이 잘 설명되어 있습니다.",
Q024,교육·취업,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 북한이탈주민에 대한 특정 언급이 있어 일반적인 지원 내용과 다소 차이가 있습니다. 또한, 법적 근거가 정확하게 명시되지 않았습니다.",
Q025,가사,심화,medium,4,"AI 응답은 핵심 내용이 대부분 일치하지만, 비자 종류에 대한 설명에서 단기방문비자(C-3)와 거주비자(F-2)의 구분이 필요하며, 한국 국민인 어머니의 신원보증서에 대한 언급이 누락되었습니다.",
Q026,보호결정·국적,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 '단순 투약과 달리'라는 부분이 누락되어 있어 약간의 차이가 있습니다. 법적 근거는 정확하게 언급되었고, 변호사 상담 권장도 포함되어 있어 전반적으로 유용한 정보입니다.",
Q027,보호결정·국적,기본,high,2,"AI 응답은 위장탈출에 대한 법적 절차와 권리를 명확히 설명하지 않고 있으며, 법적 근거도 부족합니다. 주요 내용이 불일치하고, 구체적인 이의신청 절차와 같은 중요한 정보가 누락되었습니다.",
Q028,보호결정·국적,심화,medium,3,"AI 응답은 비보호 결정에 대한 이의신청 및 재신청 가능성을 언급하였으나, 핵심 지원 내용(정착금, 취업장려금 등)에 대한 언급이 누락되어 중요 내용이 일부 부정확하게 전달되었다.",
Q029,보호결정·국적,기본,low,4,"핵심 내용은 대부분 일치하지만, 법 개정에 따른 보호대상자의 직접 신청 가능성에 대한 언급이 누락되었습니다.",
Q030,보호결정·국적,기본,low,4,"AI 응답은 보호 관련 결정에 대한 불복 방법을 대부분 정확하게 설명하고 있으며, 이의신청 및 재신청 절차를 포함하고 있습니다. 그러나 '비보호'라는 용어 사용이 혼동을 줄 수 있으며, 핵심 내용에서 약간의 표현 차이가 있습니다.",
Q031,보호결정·국적,기본,low,1,"AI 응답은 북한이탈주민의 날의 날짜와 법적 근거에 대해 완전히 잘못된 정보를 제공하고 있습니다. 이는 명백한 오류로, 법적 사실과 상충합니다.",
Q032,보호의 변경·종료,기본,high,4,"핵심 내용은 대부분 일치하지만, 정답에서 언급된 고의로 국가이익에 반하는 거짓 정보 제공 및 북한으로 되돌아가려는 기도와 같은 추가적인 상황이 누락되었습니다.",
Q033,보호의 변경·종료,기본,low,3,"AI 응답은 정착지원금이 끊기는 조건에 대한 일부 정보를 제공하지만, 핵심 내용인 소득이나 자산 기준에 대한 구체적인 언급이 부족하고 법적 근거도 정확하지 않습니다.",
Q034,보호의 변경·종료,기본,high,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 적절하게 언급되었습니다. 그러나 구체적인 처벌 수위와 미수범에 대한 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q035,보호의 변경·종료,심화,high,1,"AI 응답은 법무부가 통일부에 통보하는 의무를 명확히 언급하지 않고 있으며, 관련 법령에 대한 정보도 부정확합니다. 따라서 중요한 법적 사실이 누락되어 있어 완전히 틀린 정보로 평가됩니다.",
Q036,정착금·주거,기본,high,2,"AI 응답은 정착지원금의 담보 사용에 대한 법적 근거를 명확히 제시하지 않고 있으며, 주요 내용인 양도 및 담보 제공 금지에 대한 언급이 없습니다. 또한 불법 대출에 대한 경고가 누락되어 있어 정보의 정확성이 떨어집니다.",
Q037,정착금·주거,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 '최대 4년간 지원'과 적립금 사용 용도에 대한 정보가 누락되었습니다.",
Q038,정착금·주거,기본,medium,5,"AI 응답은 법적 근거를 정확히 인용하고 있으며, 핵심 내용이 완전하게 일치합니다. 임대주택의 양도에 대한 제한과 허가 필요성을 명확히 설명하고 있습니다.",
Q039,정착금·주거,심화,high,3,"AI 응답은 주거 지원 가능성을 언급했지만, 법적 근거와 구체적인 절차에 대한 정보가 부족합니다. 또한, 통일부와 남북하나재단에 대한 언급이 없고, 법 조항에 대한 명확한 설명이 결여되어 있습니다.",
Q040,취업·직업훈련,기본,low,2,"AI 응답은 취업보호의 개념을 설명하고 있으나, 핵심 내용인 취업보호 기간과 지원금에 대한 정보가 부정확하거나 누락되어 있습니다. 또한, 북한이탈주민에 한정된 내용으로 일반적인 취업보호에 대한 질문에 대한 답변이 아닙니다.",
Q041,취업·직업훈련,기본,medium,4,"AI 응답은 해고의 사유에 따른 취업장려금의 영향을 잘 설명하고 있으며, 주요 내용이 대부분 일치합니다. 그러나 법적 근거와 구체적인 조항에 대한 언급이 부족하여 사소한 누락이 있습니다.",
Q042,취업·직업훈련,기본,low,4,"AI 응답은 직업훈련 신청 절차를 대부분 정확하게 설명하고 있으며, 법적 근거도 언급하고 있습니다. 그러나 직업훈련 기간에 대한 정보가 누락되어 있어 사소한 차이가 있습니다.",
Q043,취업·직업훈련,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 정확하게 언급하고 있습니다. 그러나 '제품의 판로 개척 지원'과 같은 추가적인 내용이 포함되어 있어 사소한 표현 차이가 있습니다.",
Q044,취업·직업훈련,기본,low,3,"AI 응답은 북한 군인의 한국 군대 입대 가능성을 언급하였으나, 법적 근거와 구체적인 절차에 대한 정보가 부족하여 일부 중요한 내용이 누락되었습니다.",
Q045,교육,기본,low,3,"AI 응답은 하나원에서 제공하는 교육의 일부 내용을 포함하고 있지만, 주요 교육 항목들이 누락되어 있으며, 법적 근거와 구체적인 교육 내용이 부족합니다.",
Q046,교육,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 자녀 지원 내용이 구체적으로 언급되지 않고 일부 세부사항이 누락되었습니다. 법적 근거는 정확하나, 자녀의 학력 진단 및 교육·연수 지원에 대한 언급이 없습니다.",
Q047,교육,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 탈북 청소년을 위한 다양한 시설에 대한 정보를 제공하고 있습니다. 그러나 법적 근거와 관련된 세부 사항이 일부 누락되어 있어 사소한 차이가 있습니다.",
Q048,무연고청소년,기본,medium,3,"AI 응답은 지원 내용에 대한 구체적인 정보를 제공하지만, 법적 근거와 관련된 주요 내용이 일부 누락되어 있습니다. 또한, '무연고청소년'으로서의 특별 보호에 대한 언급이 없어 중요 내용이 부정확하게 전달되었습니다.",
Q049,신변보호,기본,high,3,"AI 응답은 경찰 보호 가능성을 언급했으나, 법적 근거와 신변 보호 절차에 대한 구체적인 내용이 누락되었습니다. 또한, 신변 보호 기간 및 요청 방법에 대한 정보가 부족하여 중요 내용이 일부 부정확합니다.",
Q050,의료·복지,기본,low,3,"AI 응답은 의료비 지원에 대한 일부 정보를 제공하지만, 보호대상자와 그 가족에 대한 구체적인 법적 근거와 조건이 누락되어 있습니다. 또한, 국민건강보험에 대한 언급이 없고, 일부 내용이 부정확하게 표현되었습니다.",
Q051,의료·복지,기본,low,1,"AI 응답은 국민연금 특례에 대한 핵심 내용을 완전히 잘못 전달하고 있으며, 탈북민에 대한 법적 근거를 부정확하게 설명하고 있습니다.",
Q052,의료·복지,기본,low,3,"AI 응답은 기초생활수급 신청 방법에 대한 일부 정보를 제공하지만, 핵심 내용인 거주지 보호기간 종료 후의 신청 절차와 필요한 서류에 대한 구체적인 언급이 부족합니다. 또한, 부양의무자 기준 폐지에 대한 중요한 정보가 누락되어 있습니다.",
Q053,의료·복지,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 관련 법령을 언급하고 있습니다. 그러나 법 제26조의3에 대한 직접적인 언급이 없고, 구체적인 신청 방법에 대한 정보가 누락되었습니다.",
Q054,가사,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 법적 근거와 절차의 세부사항이 일부 누락되었습니다. 특히, 가족관계등록부 작성의 중요성과 잘못된 기재의 어려움에 대한 언급이 부족합니다.",
Q055,가사,기본,low,4,"핵심 내용은 대부분 일치하지만, 법적 근거의 명칭이 다소 부정확하게 표현되었습니다. 주민등록번호 변경에 대한 조건과 제한 사항은 잘 설명되어 있으나, 법 조항의 정확한 명칭이 '법 제19조의3'이 아닌 '북한이탈주민의 보호 및 정착지원에 관한 법률'로 잘못 기재되었습니다.",
Q056,가사,심화,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 통일부에서 발급받을 수 있는 확인서의 용도와 중요성을 언급하고 있습니다. 그러나 법적 근거와 전자적 발급 가능성에 대한 구체적인 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q057,지역적응,기본,low,3,"AI 응답은 여러 지원 기관과 프로그램을 언급하였으나, 핵심 내용인 '하나센터'에 대한 정보가 누락되었고, 법적 근거도 정확하지 않음.",
Q058,지역적응,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 상담 서비스의 중요성을 강조하고 있습니다. 그러나 '북한이탈주민 전문상담사제도'와 관련된 구체적인 내용과 무료 이용 가능성에 대한 언급이 누락되었습니다.",
Q059,자격인정,기본,low,4,"AI 응답은 북한 자격증의 인정 여부와 한국에서 의사 면허 취득 절차를 설명하고 있으나, 통일부장관의 보수교육 및 자격인정심사위원회 심사에 대한 언급이 누락되어 있다.",
Q060,자격인정,기본,low,3,"AI 응답은 일부 핵심 내용을 포함하고 있으나, 학력 인정이 가능하다는 점을 명확히 전달하지 못하고 있으며, 중요한 세부사항이 누락되어 있습니다.",
Q061,법률구조,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거와 관련 기관에 대한 정보도 제공하고 있습니다. 그러나 하나원 교육과정에 대한 구체적인 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q062,개인정보,기본,high,4,"AI 응답은 개인정보 보호법과 관련된 내용을 포함하고 있어 핵심 내용이 대부분 일치하지만, 탈북민 보호·지원 업무와 관련된 구체적인 법적 근거와 국가배상 책임에 대한 언급이 누락되어 있습니다.",
Q063,영농,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 언급된 '기술벤처분야 및 창업 아이디어의 사업화 지원'은 정답에 포함되지 않은 사소한 추가 정보입니다. 법적 근거는 다소 다르게 언급되었으나, 전반적으로 지원 내용과 절차에 대한 정보는 잘 전달되었습니다.",
Q064,고용,기본,low,3,"AI 응답은 탈북민 고용에 대한 혜택을 언급하고 있으나, 법적 근거와 구체적인 내용이 일부 누락되어 있습니다. 특히, 모범 사업주에 대한 우선 구매 지원과 관련된 정보가 포함되지 않아 중요 내용이 부정확합니다.",
Q065,보호결정·국적,심화,low,4,"AI 응답은 법적 근거와 지원 내용에 대해 대부분 일치하지만, 기본계획의 수립 주기와 구체적인 항목들이 누락되어 있습니다. 전반적으로 중요한 정보는 포함되어 있으나, 일부 세부사항이 부족합니다.",
Q066,보호결정·국적,기본,high,3,"AI 응답은 탈북자에 대한 보호와 지원을 언급했지만, 한국 정부의 외교적 노력과 법적 근거에 대한 구체적인 내용이 누락되었습니다. 또한, 한국 정부의 직접 개입 불가능성에 대한 설명이 법적 근거와 일치하지 않아 일부 부정확한 정보가 포함되었습니다.",
Q067,복지·정착지원,기본,low,3,"AI 응답은 대출 관련 일반적인 조건을 언급했지만, 보호대상자에 대한 구체적인 법적 근거와 지원 방법을 누락했습니다. 또한, 긴급복지지원법에 따른 지원 내용이 포함되지 않아 중요 내용이 일부 부정확합니다.",
Q068,법률구조,기본,low,4,"AI 응답은 거주지에서의 문제 해결을 위한 다양한 지원 기관을 언급하고 있으며, 법적 근거도 포함되어 있어 대부분의 핵심 내용이 일치합니다. 그러나 거주지 보호 기간과 관련된 구체적인 정보 및 정착도우미 제도에 대한 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q069,고용,기본,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 차별에 대한 증거 수집과 법적 근거를 잘 설명하고 있습니다. 다만, 법 제18조의2에 대한 구체적인 언급이 없고, 일부 표현 차이가 있어 사소한 누락이 있습니다.",
Q070,보호의 변경·종료,심화,medium,3,"AI 응답은 통일부가 정보를 가져올 수 있다는 점을 언급했으나, 법적 근거와 구체적인 내용이 부족하여 일부 중요 내용이 누락되었습니다. 특히, 형사처벌 정보의 자동 공유에 대한 언급이 없고, 법 조항에 대한 명확한 설명이 결여되어 있습니다.",
Q071,보호결정·국적,기본,low,5,"AI 응답은 북한이탈주민의 정의를 정확히 설명하고 있으며, 법적 근거도 명확하게 제시하고 있습니다. 핵심 내용이 완전 일치하고 누락된 정보가 없습니다.",
Q072,보호결정·국적,기본,low,4,"AI 응답은 핵심 내용을 대부분 일치시키고 있으며, 법적 근거도 언급하고 있습니다. 그러나 '법 제3조'에 대한 구체적인 언급이 없고, '자동 적용'이라는 표현에 대한 명확한 설명이 부족하여 사소한 누락이 있습니다.",
Q073,보호결정·국적,기본,low,3,"AI 응답은 보호 신청의 절차에 대한 일부 정보를 제공하지만, 핵심 내용인 재외공관이나 행정기관에 직접 신청해야 한다는 점이 누락되어 있습니다. 또한, 법적 근거가 정확하지 않으며, 관련 법령의 조항을 잘못 인용하고 있습니다.",
Q074,보호결정·국적,기본,high,4,"핵심 내용은 대부분 일치하지만, 부득이한 사정에 대한 언급이 누락되었습니다. 전문 변호사와 상담하라는 조언은 적절하나, 소명 자료 준비에 대한 구체적인 언급이 부족합니다.",
Q075,보호결정·국적,심화,high,3,"AI 응답은 보호 신청에 대한 일반적인 정보는 제공하지만, 살인죄와 같은 중대한 비정치적 범죄가 보호대상에서 제외될 수 있다는 핵심 내용을 명확히 언급하지 않아 중요 내용이 일부 누락되었습니다.",
Q076,보호결정·국적,심화,medium,5,"AI 응답은 보호 결정의 주체와 절차를 정확하게 설명하고 있으며, 법적 근거도 명시하고 있습니다. 핵심 내용이 완전하게 일치하고 누락된 부분이 없습니다.",
Q077,보호의 변경·종료,기본,high,2,"AI 응답은 집행유예와 정착지원의 관계에 대한 주요 내용을 명확히 설명하지 못하고 있으며, 법적 근거도 부정확합니다. 또한, 정답에서 언급된 법 조항에 대한 구체적인 언급이 없어 주요 내용이 불일치합니다.",
Q078,보호의 변경·종료,기본,high,3,"AI 응답은 북한으로 돌아가려다 잡힐 경우의 위험성과 법적 문제를 언급했으나, 구체적인 법적 근거와 정착지원 중지에 대한 내용이 누락되어 있어 부분적으로만 일치합니다.",
Q079,가사,심화,medium,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 이혼 절차에 대한 구체적인 단계도 제시하고 있습니다. 그러나 법적 근거와 일부 세부 사항에서 약간의 차이가 있어 사소한 누락이 있습니다.",
Q080,가사,심화,medium,4,"AI 응답은 이혼 절차의 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 적절하게 언급되었습니다. 그러나 공시송달 방법에 대한 구체적인 설명이 누락되어 있어 사소한 차이가 있습니다.",
Q081,가사,기본,high,2,"AI 응답은 정정 가능성을 언급했으나, 정정 절차의 어려움과 법원의 허가 필요성 등 중요한 내용을 누락했습니다. 또한, 잘못된 정보가 법적으로 반영될 수 있다는 표현은 부정확합니다.",
Q082,정착금·주거,기본,low,4,"핵심 내용은 대부분 일치하지만, 정착금의 감액 가능성에 대한 언급이 누락되었습니다. 법적 근거는 정확하나, 구체적인 조항 번호가 다르게 언급되었습니다.",
Q083,정착금·주거,기본,low,2,"AI 응답은 보로금의 정의와 지급 조건에 대한 주요 내용을 잘못 설명하고 있으며, 법적 근거도 부정확합니다. 보로금과 보호금의 개념이 혼동되어 있어 주요 내용이 불일치합니다.",
Q084,정착금·주거,기본,low,3,"AI 응답은 주거 지원의 법적 근거와 조건을 일부 포함하고 있으나, 아파트 배정에 대한 정보가 부정확하게 전달되었고, 중요한 내용이 일부 누락되었습니다.",
Q085,정착금·주거,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 공동생활시설에 대한 정보와 지원 프로그램을 잘 설명하고 있습니다. 그러나 법적 근거의 조항 번호가 '제00조'로 명시되어 있어 정확성이 떨어지는 점이 사소한 누락으로 평가됩니다.",
Q086,신변보호,심화,high,4,"핵심 내용은 대부분 일치하지만, 법적 근거가 잘못 인용되었습니다. 또한, 위협 상황 발생 시 연락처 정보가 누락되었습니다.",
Q087,신변보호,기본,low,3,"AI 응답은 신변보호 종료 요청 가능성을 언급했으나, 법 조항 번호가 잘못 기재되었고, 신변보호 종료 후 위협 상황 재발 시 요청 가능성에 대한 언급이 누락되었습니다.",
Q088,취업·직업훈련,기본,low,4,"AI 응답은 북한에서의 학력 인정 절차와 관련 법령을 언급하며 대부분의 핵심 내용을 포함하고 있으나, 교사 자격에 대한 구체적인 심사 절차와 보수교육·재교육 요구 사항이 누락되어 있습니다.",
Q089,취업·직업훈련,기본,low,2,"AI 응답은 탈북민 고용에 대한 세금 혜택의 구체적인 내용을 명확히 전달하지 못하고 있으며, 주요 법적 근거도 누락되어 있습니다. 또한, 세금 감면에 대한 정보가 아닌 고용지원금에 대한 언급으로 주제가 흐트러졌습니다.",
Q090,취업·직업훈련,기본,low,4,"AI 응답은 고용지원금과 취업장려금에 대한 정보를 포함하고 있으며, 지방자치단체 지원에 대한 언급도 있어 대부분의 핵심 내용을 다루고 있습니다. 그러나 법적 근거와 고용지원금 신청 방법에 대한 구체적인 정보가 누락되어 있어 사소한 차이가 있습니다.",
Q091,교육,기본,low,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 지원 기간과 성적 기준에 대한 추가 정보가 포함되어 있어 사소한 차이가 있습니다. 법적 근거도 정확하게 언급되었으나, 일부 표현에서 차이가 있습니다.",
Q092,교육,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 법적 근거도 정확합니다. 그러나 일부 세부사항이 추가되어 있어 사소한 표현 차이가 있습니다.",
Q093,무연고청소년,심화,medium,4,"핵심 내용은 대부분 일치하지만, 법적 근거가 명확하게 언급되지 않았고, 통일부장관의 역할에 대한 설명이 누락되었습니다.",
Q094,의료·복지,기본,low,2,"AI 응답은 건강보험료 지원에 대한 주요 내용을 다루지 않고 있으며, 관련 법령에 대한 정보도 부정확합니다. 또한, 지원 신청 방법에 대한 구체적인 안내가 누락되어 있습니다.",
Q095,의료·복지,기본,low,2,"AI 응답은 생계급여 수급 가능성을 언급하지만, 5년 보호기간 중 기초생계급여 수급에 대한 정확한 정보가 누락되어 있으며, 법적 근거도 부정확하게 설명하고 있습니다.",
Q096,의료·복지,기본,low,4,"AI 응답은 긴급복지지원법에 따른 지원 내용을 잘 설명하고 있으며, 추가적인 지원 방법도 언급하고 있습니다. 그러나 일부 세부사항이 누락되었고, 법적 근거의 정확성이 다소 떨어지는 부분이 있습니다.",
Q097,지역적응,기본,low,3,"AI 응답은 하나센터의 기능과 서비스에 대한 정보를 제공하지만, 법적 근거와 특정 세부사항이 일부 누락되었으며, 명칭 변경에 대한 언급이 있지만 법적 근거가 정확하지 않습니다.",
Q098,지역적응,기본,low,4,"AI 응답은 핵심 내용이 대부분 일치하며, 의료급여를 통한 치료비 지원에 대한 언급이 포함되어 있습니다. 그러나 북한이탈주민 전문상담사제도와 하나센터에 대한 구체적인 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q099,자격인정,기본,low,3,"AI 응답은 북한 운전면허의 인정 여부에 대한 일부 정보를 제공하지만, 법적 근거와 구체적인 절차에 대한 설명이 부족하여 중요 내용이 일부 누락되었습니다.",
Q100,자격인정,기본,low,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 관련 법규도 언급하고 있습니다. 그러나 '하나원 조사 시의 진술 내용'과 같은 중요한 세부사항이 누락되어 있어 사소한 차이가 있습니다.",
Q101,개인정보,기본,high,4,"AI 응답은 핵심 내용을 대부분 포함하고 있으며, 개인정보 보호에 대한 법적 근거를 제시하고 있습니다. 그러나 특정 법 조항과 유출 신고 방법에 대한 구체적인 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q102,영농,기본,low,3,"AI 응답은 지원 가능성을 언급하고 있지만, 법적 근거와 구체적인 지원 내용이 일부 누락되어 있습니다. 또한, 관련 기관의 정보는 포함되어 있으나, 법 개정에 대한 언급이 없어 중요 내용이 부정확합니다.",
Q103,보호결정·국적,심화,low,4,"핵심 내용은 대부분 일치하지만, 법적 근거로 제6조 및 제9조를 언급한 것은 부정확하며, 보호기간 종료 전에 통지해야 한다는 중요한 내용이 누락되었습니다.",
Q104,법률구조,기본,low,4,"AI 응답은 주요 기관을 대부분 포함하고 있으며, 법적 근거도 적절하지만 대한법률구조공단과 재단법인 동천에 대한 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q105,보호의 변경·종료,심화,high,3,"AI 응답은 국가이익에 반하는 정보 제공에 대한 보호 종료 가능성을 언급하였으나, 고의성과 거짓 정보 제공의 조건을 명확히 설명하지 않아 중요한 내용이 일부 누락되었습니다. 또한, 법적 근거가 정확하지 않으며, 관련 법 조항이 잘못 인용되었습니다.",
Q106,고용,기본,low,4,"AI 응답은 핵심 내용을 대부분 잘 전달하고 있으며, 법적 근거도 정확하게 언급하고 있습니다. 그러나 탈북민 고용을 촉진하는 행정기관의 노력에 대한 언급이 누락되어 있어 사소한 차이가 있습니다.",
Q107,보호결정·국적,기본,low,4,"AI 응답은 핵심 내용을 대부분 일치하게 설명하고 있으며, 법적 근거도 정확하게 언급하고 있습니다. 그러나 보호대상자의 성공적인 정착을 위한 구체적인 지원 내용이 누락되어 있어 사소한 차이가 있습니다.",
Q108,정착금·주거,심화,high,4,"핵심 내용은 대부분 일치하지만, 정착금 관련 법 조항이 다르게 인용되었습니다. 경찰 신고와 전문 기관의 도움 요청이 포함되어 있어 실질적인 조언이 제공되었습니다.",
Q109,보호결정·국적,기본,high,4,"핵심 내용은 대부분 일치하지만, AI 응답에서 법 개정에 대한 언급이 없고, 구체적인 지원 범위와 방법에 대한 설명이 부족합니다.",
Q110,의료·복지,심화,low,4,"핵심 내용은 대부분 일치하지만, 법적 근거가 잘못 인용되었습니다. 또한, 일반인의 10년 요건보다 완화된 특례에 대한 언급이 누락되었습니다.",
